----------------------------------------------------------------------------------
Inicio
2019-04-30 12:21:29 PM
 TOTAL DE REGISTROS 345
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|LABEL|
workzone 040402|active|DO|BARAHONA, LOS PATOS, C.P. 040402|DO040402|
workzone 040401|active|DO|BARAHONA, PARAISO, C.P. 040401|DO040401|
workzone 040302|active|DO|BARAHONA, ARROYO DULCE, C.P. 040302|DO040302|
workzone 040301|active|DO|BARAHONA, ENRIQUILLO, C.P. 040301|DO040301|
workzone 040201|active|DO|BARAHONA, CABRAL, C.P. 040201|DO040201|
workzone 040102|active|DO|BARAHONA, EL CACHON, C.P. 040102|DO040102|
workzone 040101|active|DO|BARAHONA, BARAHONA, C.P. 040101|DO040101|
workzone 030502|active|DO|BAHORUCO, LAS CLAVELLINAS, C.P. 030502|DO030502|
workzone 030501|active|DO|BAHORUCO, LOS RIOS, C.P. 030501|DO030501|
workzone 030401|active|DO|BAHORUCO, VILLA JARAGUA, C.P. 030401|DO030401|
workzone 030305|active|DO|BAHORUCO, CABEZA DE TORO, C.P. 030305|DO030305|
workzone 030304|active|DO|BAHORUCO, MONSERRAT, C.P. 030304|DO030304|
workzone 030303|active|DO|BAHORUCO, SANTANA, C.P. 030303|DO030303|
workzone 030302|active|DO|BAHORUCO, UVILLA, C.P. 030302|DO030302|
workzone 030301|active|DO|BAHORUCO, TAMAYO, C.P. 030301|DO030301|
workzone 030201|active|DO|BAHORUCO, GALVAN, C.P. 030201|DO030201|
workzone 030104|active|DO|BAHORUCO, JAYA, C.P. 030104|DO030104|
workzone 030102|active|DO|BAHORUCO, EL PALMAR, C.P. 030102|DO030102|
workzone 030101|active|DO|BAHORUCO, NEIBA, C.P. 030101|DO030101|
workzone 021001|active|DO|AZUA, ESTEBANIA, C.P. 021001|DO021001|
workzone 020901|active|DO|AZUA, GUAYABAL, C.P. 020901|DO020901|
workzone 020804|active|DO|AZUA, LOS TOROS, C.P. 020804|DO020804|
workzone 020803|active|DO|AZUA, AMIAMA GOMEZ, C.P. 020803|DO020803|
workzone 020802|active|DO|AZUA, TABARA ABAJO, C.P. 020802|DO020802|
workzone 020801|active|DO|AZUA, TABARA ARRIBA, C.P. 020801|DO020801|
workzone 020702|active|DO|AZUA, EL ROSARIO, C.P. 020702|DO020702|
workzone 020701|active|DO|AZUA, PUEBLO VIEJO, C.P. 020701|DO020701|
workzone 020603|active|DO|AZUA, GANADERO, C.P. 020603|DO020603|
workzone 020602|active|DO|AZUA, PROYECTO 4, C.P. 020602|DO020602|
workzone 020601|active|DO|AZUA, SABANA YEGUA, C.P. 020601|DO020601|
workzone 020501|active|DO|AZUA, PERALTA, C.P. 020501|DO020501|
workzone 020403|active|DO|AZUA, LA SIEMBRA, C.P. 020403|DO020403|
workzone 020402|active|DO|AZUA, LAS LAGUNAS, C.P. 020402|DO020402|
workzone 020401|active|DO|AZUA, PADRE LAS CASAS, C.P. 020401|DO020401|
workzone 020302|active|DO|AZUA, VILLARPANDO, C.P. 020302|DO020302|
workzone 020301|active|DO|AZUA, LAS YAYAS DE VIAJAMA, C.P. 020301|DO020301|
workzone 020203|active|DO|AZUA, HATILLO, C.P. 020203|DO020203|
workzone 020202|active|DO|AZUA, PALMAR DE OCOA, C.P. 020202|DO020202|
workzone 020201|active|DO|AZUA, LAS CHARCAS, C.P. 020201|DO020201|
workzone 020108|active|DO|AZUA, CLAVELLINA, C.P. 020108|DO020108|
workzone 020107|active|DO|AZUA, DOÑA EMMA BALAGUER VIUDA VALLEJO, C.P. 020107|DO020107|
workzone 020106|active|DO|AZUA, BARRERAS, C.P. 020106|DO020106|
workzone 020105|active|DO|AZUA, PUERTO VIEJO, C.P. 020105|DO020105|
workzone 020104|active|DO|AZUA, LOS JOVILLOS, C.P. 020104|DO020104|
workzone 020103|active|DO|AZUA, LAS BARIAS-LA ESTANCIA, C.P. 020103|DO020103|
workzone 020102|active|DO|AZUA, BARRO ARRIBA, C.P. 020102|DO020102|
workzone 020101|active|DO|AZUA, AZUA, C.P. 020101|DO020101|
workzone 010101|active|DO|DISTRITO NACIONAL, SANTO DOMINGO DE GUZMAN, C.P. 010101|DO010101|
Milisegundos 617041.5883
Segundos 617.0415883
Minutos 10.2840264716667
2019-04-30 12:31:46 PM
 End 
----------------------------------------------------------------------------------
