----------------------------------------------------------------------------------
Inicio
2019-04-29 2:45:42 PM
 TOTAL DE REGISTROS 596
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|Label|
workzone 60309|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60309|CR60309|
workzone 10409|active|CR|SAN JOSE, PURISCAL, C.P. 10409|CR10409|
workzone 21303|active|CR|ALAJUELA, UPALA, C.P. 21303|CR21303|
workzone 10501|active|CR|SAN JOSE, TARRAZU, C.P. 10501|CR10501|
workzone 60401|active|CR|PUNTARENAS, MONTES DE ORO, C.P. 60401|CR60401|
workzone 10502|active|CR|SAN JOSE, TARRAZU, C.P. 10502|CR10502|
workzone 21304|active|CR|ALAJUELA, UPALA, C.P. 21304|CR21304|
workzone 10503|active|CR|SAN JOSE, TARRAZU, C.P. 10503|CR10503|
workzone 60402|active|CR|PUNTARENAS, MONTES DE ORO, C.P. 60402|CR60402|
workzone 10601|active|CR|SAN JOSE, ASERRI, C.P. 10601|CR10601|
workzone 21305|active|CR|ALAJUELA, UPALA, C.P. 21305|CR21305|
workzone 10602|active|CR|SAN JOSE, ASERRI, C.P. 10602|CR10602|
workzone 60403|active|CR|PUNTARENAS, MONTES DE ORO, C.P. 60403|CR60403|
workzone 10603|active|CR|SAN JOSE, ASERRI, C.P. 10603|CR10603|
workzone 21306|active|CR|ALAJUELA, UPALA, C.P. 21306|CR21306|
workzone 10604|active|CR|SAN JOSE, ASERRI, C.P. 10604|CR10604|
workzone 60501|active|CR|PUNTARENAS, OSA, C.P. 60501|CR60501|
workzone 10605|active|CR|SAN JOSE, ASERRI, C.P. 10605|CR10605|
workzone 21307|active|CR|ALAJUELA, UPALA, C.P. 21307|CR21307|
workzone 10606|active|CR|SAN JOSE, ASERRI, C.P. 10606|CR10606|
workzone 60502|active|CR|PUNTARENAS, OSA, C.P. 60502|CR60502|
workzone 10607|active|CR|SAN JOSE, ASERRI, C.P. 10607|CR10607|
workzone 21401|active|CR|ALAJUELA, LOS CHILES, C.P. 21401|CR21401|
workzone 10701|active|CR|SAN JOSE, MORA, C.P. 10701|CR10701|
workzone 60503|active|CR|PUNTARENAS, OSA, C.P. 60503|CR60503|
workzone 10702|active|CR|SAN JOSE, MORA, C.P. 10702|CR10702|
workzone 21402|active|CR|ALAJUELA, LOS CHILES, C.P. 21402|CR21402|
workzone 10703|active|CR|SAN JOSE, MORA, C.P. 10703|CR10703|
workzone 60504|active|CR|PUNTARENAS, OSA, C.P. 60504|CR60504|
workzone 10704|active|CR|SAN JOSE, MORA, C.P. 10704|CR10704|
workzone 60505|active|CR|PUNTARENAS, OSA, C.P. 60505|CR60505|
workzone 21403|active|CR|ALAJUELA, LOS CHILES, C.P. 21403|CR21403|
workzone 10705|active|CR|SAN JOSE, MORA, C.P. 10705|CR10705|
workzone 21404|active|CR|ALAJUELA, LOS CHILES, C.P. 21404|CR21404|
workzone 60601|active|CR|PUNTARENAS, AGUIRRE, C.P. 60601|CR60601|
workzone 21501|active|CR|ALAJUELA, GUATUSO, C.P. 21501|CR21501|
workzone 10801|active|CR|SAN JOSE, GOICOECHEA, C.P. 10801|CR10801|
workzone 21502|active|CR|ALAJUELA, GUATUSO, C.P. 21502|CR21502|
workzone 60602|active|CR|PUNTARENAS, AGUIRRE, C.P. 60602|CR60602|
workzone 21503|active|CR|ALAJUELA, GUATUSO, C.P. 21503|CR21503|
workzone 10802|active|CR|SAN JOSE, GOICOECHEA, C.P. 10802|CR10802|
workzone 21504|active|CR|ALAJUELA, GAUTUSO, C.P. 21504|CR21504|
workzone 60603|active|CR|PUNTARENAS, AGUIRRE, C.P. 60603|CR60603|
workzone 30101|active|CR|CARTAGO, CARTAGO, C.P. 30101|CR30101|
workzone 10803|active|CR|SAN JOSE, GOICOECHEA, C.P. 10803|CR10803|
workzone 30102|active|CR|CARTAGO, CARTAGO, C.P. 30102|CR30102|
workzone 60605|active|CR|PUNTARENAS, OSA, C.P. 60605|CR60605|
workzone 30103|active|CR|CARTAGO, CARTAGO, C.P. 30103|CR30103|
workzone 10804|active|CR|SAN JOSE, GOICOECHEA, C.P. 10804|CR10804|
workzone 30104|active|CR|CARTAGO, CARTAGO, C.P. 30104|CR30104|
workzone 60701|active|CR|PUNTARENAS, GOLFITO, C.P. 60701|CR60701|
workzone 30105|active|CR|CARTAGO, CARTAGO, C.P. 30105|CR30105|
workzone 10805|active|CR|SAN JOSE, GOICOECHEA, C.P. 10805|CR10805|
workzone 30106|active|CR|CARTAGO, CARTAGO, C.P. 30106|CR30106|
workzone 60702|active|CR|PUNTARENAS, GOLFITO, C.P. 60702|CR60702|
workzone 30107|active|CR|CARTAGO, CARTAGO, C.P. 30107|CR30107|
workzone 10806|active|CR|SAN JOSE, GOICOECHEA, C.P. 10806|CR10806|
workzone 30108|active|CR|CARTAGO, CARTAGO, C.P. 30108|CR30108|
workzone 60703|active|CR|PUNTARENAS, GOLFITO, C.P. 60703|CR60703|
workzone 30109|active|CR|CARTAGO, CARTAGO, C.P. 30109|CR30109|
workzone 10807|active|CR|SAN JOSE, GOICOECHEA, C.P. 10807|CR10807|
workzone 30110|active|CR|CARTAGO, CARTAGO, C.P. 30110|CR30110|
workzone 60704|active|CR|PUNTARENAS, GOLFITO, C.P. 60704|CR60704|
workzone 30111|active|CR|CARTAGO, CARTAGO, C.P. 30111|CR30111|
workzone 10901|active|CR|SAN JOSE, SANTA ANA, C.P. 10901|CR10901|
workzone 30201|active|CR|CARTAGO, PARAISO, C.P. 30201|CR30201|
workzone 60801|active|CR|PUNTARENAS, COTO BRUS, C.P. 60801|CR60801|
workzone 30202|active|CR|CARTAGO, PARAISO, C.P. 30202|CR30202|
workzone 10902|active|CR|SAN JOSE, SANTA ANA, C.P. 10902|CR10902|
workzone 30203|active|CR|CARTAGO, PARAISO, C.P. 30203|CR30203|
workzone 60802|active|CR|PUNTARENAS, COTO BRUS, C.P. 60802|CR60802|
workzone 30204|active|CR|CARTAGO, PARAISO, C.P. 30204|CR30204|
workzone 10903|active|CR|SAN JOSE, SANTA ANA, C.P. 10903|CR10903|
workzone 30205|active|CR|CARTAGO, PARAISO, C.P. 30205|CR30205|
workzone 60803|active|CR|PUNTARENAS, COTO BRUS, C.P. 60803|CR60803|
workzone 30301|active|CR|CARTAGO, LA UNION, C.P. 30301|CR30301|
workzone 10904|active|CR|SAN JOSE, SANTA ANA, C.P. 10904|CR10904|
workzone 30302|active|CR|CARTAGO, LA UNION, C.P. 30302|CR30302|
workzone 60804|active|CR|PUNTARENAS, COTO BRUS, C.P. 60804|CR60804|
workzone 30303|active|CR|CARTAGO, LA UNION, C.P. 30303|CR30303|
workzone 10905|active|CR|SAN JOSE, SANTA ANA, C.P. 10905|CR10905|
workzone 30304|active|CR|CARTAGO, LA UNION, C.P. 30304|CR30304|
workzone 60805|active|CR|PUNTARENAS, COTO BRUS, C.P. 60805|CR60805|
workzone 30305|active|CR|CARTAGO, LA UNION, C.P. 30305|CR30305|
workzone 10906|active|CR|SAN JOSE, SANTA ANA, C.P. 10906|CR10906|
workzone 30306|active|CR|CARTAGO, LA UNION, C.P. 30306|CR30306|
workzone 60901|active|CR|PUNTARENAS, PARRITA, C.P. 60901|CR60901|
workzone 30307|active|CR|CARTAGO, LA UNION, C.P. 30307|CR30307|
workzone 11001|active|CR|SAN JOSE, ALAJUELITA, C.P. 11001|CR11001|
workzone 30308|active|CR|CARTAGO, LA UNION, C.P. 30308|CR30308|
workzone 61001|active|CR|PUNTARENAS, CORREDORES, C.P. 61001|CR61001|
workzone 30401|active|CR|CARTAGO, JIMENEZ, C.P. 30401|CR30401|
workzone 11002|active|CR|SAN JOSE, ALAJUELITA, C.P. 11002|CR11002|
workzone 30402|active|CR|CARTAGO, JIMENEZ, C.P. 30402|CR30402|
workzone 61002|active|CR|PUNTARENAS, CORREDORES, C.P. 61002|CR61002|
workzone 30403|active|CR|CARTAGO, JIMENEZ, C.P. 30403|CR30403|
workzone 11003|active|CR|SAN JOSE, ALAJUELITA, C.P. 11003|CR11003|
workzone 30501|active|CR|CARTAGO, TURRIALBA, C.P. 30501|CR30501|
workzone 61003|active|CR|PUNTARENAS, CORREDORES, C.P. 61003|CR61003|
workzone 30502|active|CR|CARTAGO, TURRIALBA, C.P. 30502|CR30502|
