WORK_ZONE_NAME;ZIPCODE;PAIS;ESTADO;Label
SAN JOSE, MORAVIA, C.P. 11402;11402;CR;active;CR11402
SAN JOSE, MORAVIA, C.P. 11403;11403;CR;active;CR11403
SAN JOSE, MONTES DE OCA, C.P. 11501;11501;CR;active;CR11501
SAN JOSE, MONTES DE OCA, C.P. 11502;11502;CR;active;CR11502
SAN JOSE, MONTES DE OCA, C.P. 11503;11503;CR;active;CR11503
SAN JOSE, MONTES DE OCA, C.P. 11504;11504;CR;active;CR11504
SAN JOSE, TURRUBARES, C.P. 11601;11601;CR;active;CR11601
SAN JOSE, TURRUBARES, C.P. 11602;11602;CR;active;CR11602
SAN JOSE, TURRUBARES, C.P. 11603;11603;CR;active;CR11603
SAN JOSE, TURRUBARES, C.P. 11604;11604;CR;active;CR11604
SAN JOSE, TURRUBARES, C.P. 11605;11605;CR;active;CR11605
SAN JOSE, DOTA, C.P. 11701;11701;CR;active;CR11701
SAN JOSE, DOTA, C.P. 11702;11702;CR;active;CR11702
SAN JOSE, DOTA, C.P. 11703;11703;CR;active;CR11703
SAN JOSE, CURRIDABAT, C.P. 11801;11801;CR;active;CR11801
SAN JOSE, CURRIDABAT, C.P. 11802;11802;CR;active;CR11802
SAN JOSE, CURRIDABAT, C.P. 11803;11803;CR;active;CR11803
SAN JOSE, CURRIDABAT, C.P. 11804;11804;CR;active;CR11804
SAN JOSE, PEREZ ZELEDON, C.P. 11901;11901;CR;active;CR11901
SAN JOSE, PEREZ ZELEDON, C.P. 11902;11902;CR;active;CR11902
SAN JOSE, PEREZ ZELEDON, C.P. 11903;11903;CR;active;CR11903
SAN JOSE, PEREZ ZELEDON, C.P. 11904;11904;CR;active;CR11904
SAN JOSE, PEREZ ZELEDON, C.P. 11905;11905;CR;active;CR11905
SAN JOSE, PEREZ ZELEDON, C.P. 11906;11906;CR;active;CR11906
SAN JOSE, PEREZ ZELEDON, C.P. 11907;11907;CR;active;CR11907
SAN JOSE, PEREZ ZELEDON, C.P. 11908;11908;CR;active;CR11908
SAN JOSE, PEREZ ZELEDON, C.P. 11909;11909;CR;active;CR11909
SAN JOSE, PEREZ ZELEDON, C.P. 11910;11910;CR;active;CR11910
SAN JOSE, PEREZ ZELEDON, C.P. 11911;11911;CR;active;CR11911
SAN JOSE, LEON CORTES, C.P. 12001;12001;CR;active;CR12001
SAN JOSE, LEON CORTES, C.P. 12002;12002;CR;active;CR12002
SAN JOSE, LEON CORTES, C.P. 12003;12003;CR;active;CR12003
SAN JOSE, LEON CORTES, C.P. 12004;12004;CR;active;CR12004
SAN JOSE, LEON CORTES, C.P. 12005;12005;CR;active;CR12005
SAN JOSE, LEON CORTES, C.P. 12006;12006;CR;active;CR12006
ALAJUELA, ALAJUELA, C.P. 20101;20101;CR;active;CR20101
ALAJUELA, ALAJUELA, C.P. 20102;20102;CR;active;CR20102
ALAJUELA, ALAJUELA, C.P. 20103;20103;CR;active;CR20103
ALAJUELA, ALAJUELA, C.P. 20104;20104;CR;active;CR20104
ALAJUELA, ALAJUELA, C.P. 20105;20105;CR;active;CR20105
ALAJUELA, ALAJUELA, C.P. 20106;20106;CR;active;CR20106
ALAJUELA, ALAJUELA, C.P. 20107;20107;CR;active;CR20107
ALAJUELA, ALAJUELA, C.P. 20108;20108;CR;active;CR20108
ALAJUELA, ALAJUELA, C.P. 20109;20109;CR;active;CR20109
ALAJUELA, ALAJUELA, C.P. 20110;20110;CR;active;CR20110
ALAJUELA, ALAJUELA, C.P. 20111;20111;CR;active;CR20111
ALAJUELA, ALAJUELA, C.P. 20112;20112;CR;active;CR20112
ALAJUELA, ALAJUELA, C.P. 20113;20113;CR;active;CR20113
ALAJUELA, ALAJUELA, C.P. 20114;20114;CR;active;CR20114
ALAJUELA, SAN RAMON, C.P. 20201;20201;CR;active;CR20201
ALAJUELA, SAN RAMON, C.P. 20202;20202;CR;active;CR20202
ALAJUELA, SAN RAMON, C.P. 20203;20203;CR;active;CR20203
ALAJUELA, SAN RAMON, C.P. 20204;20204;CR;active;CR20204
ALAJUELA, SAN RAMON, C.P. 20205;20205;CR;active;CR20205
ALAJUELA, SAN RAMON, C.P. 20206;20206;CR;active;CR20206
ALAJUELA, SAN RAMON, C.P. 20207;20207;CR;active;CR20207
ALAJUELA, SAN RAMON, C.P. 20208;20208;CR;active;CR20208
ALAJUELA, SAN RAMON, C.P. 20209;20209;CR;active;CR20209
ALAJUELA, SAN RAMON, C.P. 20210;20210;CR;active;CR20210
ALAJUELA, SAN RAMON, C.P. 20211;20211;CR;active;CR20211
ALAJUELA, SAN RAMON, C.P. 20212;20212;CR;active;CR20212
ALAJUELA, SAN RAMON, C.P. 20213;20213;CR;active;CR20213
ALAJUELA, GRECIA, C.P. 20301;20301;CR;active;CR20301
ALAJUELA, GRECIA, C.P. 20302;20302;CR;active;CR20302
ALAJUELA, GRECIA, C.P. 20303;20303;CR;active;CR20303
ALAJUELA, GRECIA, C.P. 20304;20304;CR;active;CR20304
ALAJUELA, GRECIA, C.P. 20305;20305;CR;active;CR20305
ALAJUELA, GRECIA, C.P. 20306;20306;CR;active;CR20306
ALAJUELA, GRECIA, C.P. 20307;20307;CR;active;CR20307
ALAJUELA, GRECIA, C.P. 20308;20308;CR;active;CR20308
ALAJUELA, SAN MATEO, C.P. 20401;20401;CR;active;CR20401
ALAJUELA, SAN MATEO, C.P. 20402;20402;CR;active;CR20402
ALAJUELA, SAN MATEO, C.P. 20403;20403;CR;active;CR20403
ALAJUELA, ATENAS, C.P. 20501;20501;CR;active;CR20501
ALAJUELA, ATENAS, C.P. 20502;20502;CR;active;CR20502
ALAJUELA, ATENAS, C.P. 20503;20503;CR;active;CR20503
ALAJUELA, ATENAS, C.P. 20504;20504;CR;active;CR20504
ALAJUELA, ATENAS, C.P. 20505;20505;CR;active;CR20505
ALAJUELA, ATENAS, C.P. 20506;20506;CR;active;CR20506
ALAJUELA, ATENAS, C.P. 20507;20507;CR;active;CR20507
ALAJUELA, ATENAS, C.P. 20508;20508;CR;active;CR20508
ALAJUELA, NARANJO, C.P. 20601;20601;CR;active;CR20601
ALAJUELA, NARANJO, C.P. 20602;20602;CR;active;CR20602
ALAJUELA, NARANJO, C.P. 20603;20603;CR;active;CR20603
ALAJUELA, NARANJO, C.P. 20604;20604;CR;active;CR20604
ALAJUELA, NARANJO, C.P. 20605;20605;CR;active;CR20605
ALAJUELA, NARANJO, C.P. 20606;20606;CR;active;CR20606
ALAJUELA, NARANJO, C.P. 20607;20607;CR;active;CR20607
ALAJUELA, NARANJO, C.P. 20608;20608;CR;active;CR20608
ALAJUELA, PALMARES, C.P. 20701;20701;CR;active;CR20701
ALAJUELA, PALMARES, C.P. 20702;20702;CR;active;CR20702
ALAJUELA, PALMARES, C.P. 20703;20703;CR;active;CR20703
ALAJUELA, PALMARES, C.P. 20704;20704;CR;active;CR20704
ALAJUELA, PALMARES, C.P. 20705;20705;CR;active;CR20705
ALAJUELA, PALMARES, C.P. 20706;20706;CR;active;CR20706
ALAJUELA, PALMARES, C.P. 20707;20707;CR;active;CR20707
ALAJUELA, POAS, C.P. 20801;20801;CR;active;CR20801
ALAJUELA, POAS, C.P. 20802;20802;CR;active;CR20802
ALAJUELA, POAS, C.P. 20803;20803;CR;active;CR20803
ALAJUELA, POAS, C.P. 20804;20804;CR;active;CR20804
ALAJUELA, POAS, C.P. 20805;20805;CR;active;CR20805
ALAJUELA, OROTINA, C.P. 20901;20901;CR;active;CR20901
ALAJUELA, OROTINA, C.P. 20902;20902;CR;active;CR20902
ALAJUELA, OROTINA, C.P. 20903;20903;CR;active;CR20903
ALAJUELA, OROTINA, C.P. 20904;20904;CR;active;CR20904
ALAJUELA, OROTINA, C.P. 20905;20905;CR;active;CR20905
ALAJUELA, SAN CARLOS, C.P. 21001;21001;CR;active;CR21001
ALAJUELA, SAN CARLOS, C.P. 21002;21002;CR;active;CR21002
ALAJUELA, SAN CARLOS, C.P. 21003;21003;CR;active;CR21003
ALAJUELA, SAN CARLOS, C.P. 21004;21004;CR;active;CR21004
ALAJUELA, SAN CARLOS, C.P. 21005;21005;CR;active;CR21005
ALAJUELA, SAN CARLOS, C.P. 21006;21006;CR;active;CR21006
ALAJUELA, SAN CARLOS, C.P. 21007;21007;CR;active;CR21007
ALAJUELA, SAN CARLOS, C.P. 21008;21008;CR;active;CR21008
ALAJUELA, SAN CARLOS, C.P. 21009;21009;CR;active;CR21009
ALAJUELA, SAN CARLOS, C.P. 21010;21010;CR;active;CR21010
ALAJUELA, SAN CARLOS, C.P. 21011;21011;CR;active;CR21011
